Destination,description,temperature,reviews
Dubai,,,"['could any one tell me when is the best time to visit dubai?i am planning to visit dubai in november this year please advise me is it a good time to visit Dubai ? what is the weather in dubai during november? is there any better option?', ""November is a lovely time to visit, weather is still in the low 30's during the day and lovely on an evening time. Very little humidity around this time also.The downside of the nice weather is that hotel prices tend to rise quite steeply as the temperatures start to lower."", 'Best Month weather wise is December - february, however from 3rd week of December through Shopping festival is a time time when hotels and other attractions are busier. So end of November to mid December and beginning of March are good also as temp is generally 18-30 and hotels arent that packed', ""My favourite month is probably March, it's hot but not too hot and it's not horribly humid as it is over summer. November is also good, though."", 'I love March, like an English summer.', 'Thank you every one for your helpful advices, as i dont like hot weather Nov - Jan might work for me.where this shopping festival is held?i have heard that during shopping festival every thing gets expensive in dubai including hotels, goods, etc is that true?Edited: 10 August 2011, 08:38 ', 'What about the end of September? Too hot?', ""We've been a few times at the end of October and the weather was perfect so November will be great."", ""-:- Message from TripAdvisor staff -:-This topic has been closed to new posts due to inactivity. We hope you'll join the conversation by posting to an open topic or starting a new one.To review the TripAdvisor Forums Posting Guidelines, please follow this link: http://www.tripadvisor.com/pages/forums_posting_guidelines.htmlWe remove posts that do not follow our posting guidelines, and we reserve the right to remove any post for any reason.Removed on: 07 October 2012, 18:47""]"
Abu Dhabi,"The best time to visit Abu Dhabi is from November to February when it is cool to coldand one can really make the best of the outdoorswith leisurely strolls within and around the island. The temperature during this period usually rangesfrom 9 to 25 degrees centigrade. Warm clothes such as a jacket or shawl are useful as it is quite breezy. Overcoats, jackets, bootsand pullovers are common sights during this period. The malls are full of autumn-winter collections. Winter sales are held Decemberbut not all stores and no fixed times. However this is a good time to visit. The Dubai Shopping Festival (DSF)is for one month in January/February and most shops in Abu Dhabi offer discountsduring the same period (and sometimes beyond). Some people recommend that you visit the stores in the first week ofthe salesso as to get bargains in the right sizes. However, towards the end of the sale, the remaining goods are reduced further (50% to 70% off the original price is usual) and it is possible to get some great bargains. October, Marchand April are the best monthsfor beaches when it is not too hot to be outside. From November to April also sees Abu Dhabiroadsides andparks with colorful flowers.Peak summer starts from lateMaywithJuly-Aug being the hottestmonths with temperatures in the range of 100-120 degrees Fahrenheit (up to about 50C). Humidity is usually very highthrough toSeptember anditcan bethe most unpleasant time to be outside.The evenings are slightly cooler but the breeze is still hot with just a slight dip from the day temperature. The heat cansurpriseyou when you step outside from an air conditioned hotel or mall. Unless you are keen on sunbathingand shopping in air-conditioned malls, (there are usually sales in July) the best time to visit Abu Dhabi would be during the cooler months. Besides, a Dune Dinner and Desert Safari tour (which is usually in the itinerary of most visitors) is much more pleasant when it is not too hot. Abu Dhabi is a moderncity where designer fashion labels are commonplace in the shops, but the occasions where they are worn needs to be appropriate. Loose lightweight clothing is ideal, particularlyduring summer. Short, revealingor tight clothingis considered disrespectful. Tight or revealingtops and short skirts or dresses are not advised, especiallyas a pedestrian, in taxisand if walking aboutat night. This is likely to attract unwanted attention. Atbig hotels you can be dressed as you please but do keep in mind that traditionally the local peopleare covered and many of the non-local residents are also strict Muslims. So It is best to cover your shoulders and wear skirts/pants/trousersat least to the knees.On the beach, a normal bathing suit or bikini is fine, but avoid'thong' bikini bottomsor topless sunbathing as this is considered indecent.","{'Nov': {'high temp': '85°F 29°C', 'low temp': '64°F 17°C', 'rain': '0 in 0 cm'}, 'Oct': {'high temp': '94°F 34°C', 'low temp': '71°F 21°C', 'rain': '0 in 0 cm'}, 'Dec': {'high temp': '76°F 24°C', 'low temp': '58°F 14°C', 'rain': '0 in 1 cm'}, 'Sep': {'high temp': '101°F 38°C', 'low temp': '79°F 26°C', 'rain': '0 in 0 cm'}, 'Jan': {'high temp': '73°F 22°C', 'low temp': '56°F 13°C', 'rain': '0 in 1 cm'}, 'Aug': {'high temp': '106°F 41°C', 'low temp': '84°F 28°C', 'rain': '0 in 0 cm'}}",[]
Muscat,"The best time to visit Muscat is in the winter months between October - March. The temperatures are average with a minimum of 15 degrees and a maximum of 30 degrees.The weather during these months allows for tours around the city to the local market, beach and forts,etc without the extreme heat of the summer months (45 degrees +). It is best to avoid the extreme heat of the summer months with high humidity and extreme temperatures that could rise to 50 degrees.","{'Nov': {'high temp': '83°F 28°C', 'low temp': '67°F 19°C', 'rain': '0 in 0 cm'}, 'Oct': {'high temp': '90°F 32°C', 'low temp': '72°F 22°C', 'rain': '0 in 0 cm'}, 'Dec': {'high temp': '77°F 25°C', 'low temp': '62°F 16°C', 'rain': '0 in 1 cm'}, 'Sep': {'high temp': '92°F 33°C', 'low temp': '77°F 25°C', 'rain': '0 in 0 cm'}, 'Jan': {'high temp': '74°F 23°C', 'low temp': '60°F 15°C', 'rain': '0 in 1 cm'}, 'Aug': {'high temp': '93°F 33°C', 'low temp': '79°F 26°C', 'rain': '0 in 0 cm'}}",[]
Jaipur,,,"[""We are planning to go to India next year, flying in to Delhi. It will probably be around end March. We don't like awfully hot weather (not being used to it in Scotland!) but haven't spoken to anyone who has been at that time of year.Would welcme advice!"", 'Try to make it early of March. Because, the weather gets hot day by day after third week of March. Although, that depends which part of India you are planning for. However, overall Indian climate will be soothing in March.Edited: 18 April 2011, 22:05 ', 'If you can make it in February or first week of March i think you will enjoy it. Temp. around 15-25 degree centigrade in day time in northern plains of India.deepak', ""Hello bluebell5031We usually go Feb - MarchWhat was it that you specifically wished to see or do on your tour ?March is great for beaches but there are'nt many of those in Delhi.Temples, Taj Mahal, and tigers are all very accessible from Delhi.What timescale are you allowing yourselves for your stay, are you going elsewhere after Delhi for example to the south?"", ""Thanks for comments. We will only have 2 weeks in India. Main places to visit will be Agra and Jaipur. Don't know what best mode of travel would be-hiring a car +driver might be a possibility but have no idea of the cost. Trains are another possibility. We want to start and finish in Delhi, definitely not a beach holiday! Have heard beautiful scenery north of Delhi but haven't done homework on that yet. We enjoy sightseeing, doing the touristy things but in our own way. We love beautiful scenery, interesting buildings, different cultures- I'm sure India will wow us but I feel a bit daunted at planning this from a position of ignorance! Basically deciding when to go would be a start as we need to book the time off from work. Do you think first couple of weeks in March would be ok?"", 'Thanks for comments.', 'I too would recommend you visiting by Feb end or in first week of March. As already told, it gets hotter towards the end of March.Two week time is good enough and you can visit much more than Agra and Jaipur.Consider this:Delhi>Jaisalmer>Jodhpur>Udaipur>Jaipur>Agra>Varanasi>DelhiIf you limit yourself to Delhi, Agra and Rajasthan, it can be comfortably done by car.Vivek', 'A day visit to Agra for the Taj Mahal is plenty, just be sure that day is not a friday', 'If you wish to see some Tigers and visit to the Taj Mahal which is very good trip I might add . You will do yourself a favour to read the reviews the first link is to I think a very good review maybe the best of all but there are also many more. Very soon you will see a pattern emerge as to the best way to go. Please treat this as word of mouth recommendation not like spamtripadvisor.com/…REVIEWSindiamike.com/india/…indiamike.com/india/…Louise', 'Oh for sure le gal louiseJackEdited: 22 April 2011, 01:29 ', ""-:- Message from TripAdvisor staff -:-This topic has been closed to new posts due to inactivity. We hope you'll join the conversation by posting to an open topic or starting a new one.To review the TripAdvisor Forums Posting Guidelines, please follow this link: http://www.tripadvisor.com/pages/forums_posting_guidelines.htmlWe remove posts that do not follow our posting guidelines, and we reserve the right to remove any post for any reason.Removed on: 30 October 2012, 18:17""]"
Udaipur,,,[]
Jodhpur,,,[]
Bali,"Bali is located only 8º (890 km) south of the equator. Thus, Balinese weather is tropical to say the least - reliably hot and sunny. Days are almost always 12 hours long. Around sunrise, 6:20 a.m, locals can be seen on the beach blessing the new day, playing with their families in the surf or harnessing their nets for a day of fishing. The sun then sets around 6:30 p.m when families generally retreat inside. The daytime temperature averages between 80º F (27ºC) to 90º F (32ºC) in the southern lowlands. In Bali however, it is quite humid at about 75% so often times it feels much hotter. The mountains tend to be significantly cooler at around 70º F (21ºC) to 80º F (27ºC). At night the mountains can get pretty chilly.  Bali’s tropical monsoon climate has two distinct seasons: dry (between May to September) and wet (between October to April). Monsoon refers to the wind, not the rain. However even in the wet monsoon, in this tropical paradise it is still likelyit will be sunny for a good part of the day.May, June and July are generally considered to be the best time to travel to Bali in terms of the weather. However, depending on whether the traveler is a surfer or explorer, preferences may change. During the dry season, May to October, the western side of the peninsula creates some of the world's best waves. The best advice is to check the estimated weather during time of travel and pack accordingly.Up to the minute weather is reported from Ngurah Tai International Airport in Depasar here.",,"['Hi EveryoneHope you can help me, I wanted to know when is the best time of year to visit Bali...??ThanksOsman', 'tripadvisor.co.uk/Travel-g294226-s208/Bali:I…', 'The best time as far as weather goes is between April and September.', 'Yes as Whinnie has said between April and September. But if in doubt go anytime as It is a great Holiday he heEdited: 18 June 2014, 11:33 ', 'Anytime is good, sept to March is the hot humid rainy season, we usually go March and September. July and August has great weather and little rain....but the pool could be cool, so if you like spending a lot of time in the pool these months can be hit or miss.', ""it depends on your preference. some find it best when it's not a peak season - less people, more relaxed. july to september and dec- jan are peak."", 'Anytime is a good time to visit Bali, but if you want to avoid the rain I would go from March to November.', 'Like others have said, anytime is a good time. We are here now & the weather has been lovely. Spent the first 4 days in ubud & it seemed more humid there than here in Seminyak. It also rained a little in ubud too but not enough to spoil any plans.', 'March or april or september or october hot weather, not too cold to swim, not high season just check when Nepyi day is if traveling in march', 'I chose to go during May, which was following the end of the wet season (around March), and during what is considered to be ""low"" season, when I was expecting things wouldn\'t be as busy as the high season (July onwards).I was happy with my choice, weather was good with only a few overnight rains, and even though I thought it was quite busy, the locals were constantly telling me that things are pretty quiet.I would choose to travel again at that time of year.', 'Any time i say - its all good.']"
Macau,,,"['We are planning to visit Hong Kong this year, which might be a 5 day at Hong Kong and 1-2 day at Macau, for shopping, sight-seeing and theme park. As browsing on the travel guide books, there would be heavy rains in certain months. Thus, we would need your suggestions on which month is the best time for us to visit Hong Kong and Macau. Thanks in advance.', 'From mid Oct to mid Dec.', 'October is trade show season. It translates to high hotel rates. My personal ""best time"" to visit Hong Kong is late November through year end. Lots of festivities. The place is ""alive"". And weather cools off a bit. Used to be drier but it seems in recent years it rains in the late fall too. The driest month is typically February but it also can be the coldest. We are talking about 10\'C or so. For some, it may be nothing at all.', 'From November to March next year is the best time. December is best, because almost everything is on sale with discount. The average temperature is around 20 °C. It will be dry and windy in winter. A thick coat and thin sweater are enough.', 'Too cold for me in winter. No guarantee for 20C in December! This is rather the maximum temperature. It can be 10C as well. See 2014:www.hko.gov.hk/wxinfo/pastwx/metob201412.htmI personally prefer either march to June or late summer (after cyclone season).', 'Hello Hazel_LoveWelcome to the Hong Kong forum. Best time depends on your tolerance for hot/humid summer conditions and rains, mild/cool weather in the winter and year round crowds. ;-) If you can let the forum know what sort of conditions you are interested in, we can offer suggestions and thoughts that will be more precise to your interests.', 'The best time to visit Hong Kong is between October and December. This period boasts comfortable temperatures and reasonable room rates.', 'We are planning to visit HK and Macau either May or July. What kind of weather is it like during these 2 months? And we would like to visit Disneyland and Ocean Park, would there be any facility(s) be affected on these 2 months?Are we able to take a ferry to Macau?As these 2 months will surely be affected by typhoon, thus, other than umbrellas and raincoats, what else should we prepare in advance for our trip?Does the hotels in HK provide laundry service or DIY style of laundry service?Thanks in advance for advices. :)', ""Of the 2 I would say that May would be slightly better for weather but still humid with plenty of rain. My daughter lives in Hong Kong and longs for the Scottish climate especially during the summer months. In fact when we were visiting from the end of December to mid January the weather was mostly sunny with a breeze and the temp got up to the low 20s C on some days. So better than most Scottish summers and very pleasant compared to Hong Kong's summer weather.So depending on the climate you are used to you might tolerate the summer humidity ok but if you are more used to a Scottish/UK type climate it could spoil your whole trip.I would guess that most hotels in the mid-high range category will have a laundry service and the low budget ones will have more of a DIY arrangement/you would have to use a nearby launderette."", ""-:- Message from TripAdvisor staff -:-This topic has been closed to new posts due to inactivity. We hope you'll join the conversation by posting to an open topic or starting a new one.To review the TripAdvisor Forums Posting Guidelines, please follow this link: http://www.tripadvisor.com/pages/forums_posting_guidelines.htmlWe remove posts that do not follow our posting guidelines, and we reserve the right to remove any post for any reason.Removed on: 28 February 2016, 18:15""]"
Seychelles,"Seychelles is often sold as a year round destination... and it is. However there is more chance of bad weather,that is tosayrain, in November and December. This can vary terrifically year to year - some years are very wet at this time, others are very dry and sunny.It is worth remembering that tropical islands do get rain all year round. That is why they have lush, green vegetation.The driest month is August, sometimes extending into September, often causing water restrictions. This year water restrictions are in place from June into September.At any time of the year it can be raining on one side of the island, and baking hot sunshine on the other. So be prepared to travel around a bit. Half the year the winds are in one direction, stirring up the sea onthat side of the islandand occasionally causing seaweed on the beach. Then the other half of the year from the opposite direction. The hottest month is April, but it is humid all year round..From May to September, the winds pick up and you have the occurrence of the much talked about sea weed usually south or south-easterly of the respective island. It does not occur everywhere, but where it collects, it forms a soupy barrier is really impossible to swim through. If you are staying in a hotel (predominantly some beaches on Praslin are affected) that has the issue, they will always arrange for transport to a beach which is weed free.The other issue with the winds duringthe south-east tradewindsperiod (June, July, August)is it makes the crossing from Mahe to Praslin a real test of your sea legs if you travel by ferry or Cat Coco. The crossing is usually 45 minutes, but this can be extended during this period and is not overtly pleasant. You can fly to Praslin as an alternative,it takes 15 minutesand the sights are stunning.If you're staying in the south west of Mahe it is also worth checking with your hotel as to the conditions of the sea for swimming. There is one particular beach Intendence for example where swimming is really quite treacherous then, but it does not apply to all of them.One thing you can guarantee all year round, is that the temperatures are never, ever cold and of critical importance for those heading off on honeymoon between June and September, the temperatures are fantastic unlike other parts of the Indian Ocean.","{'Nov': {'high temp': '83°F 28°C', 'low temp': '75°F 23°C', 'rain': '5 in 13 cm'}, 'Oct': {'high temp': '82°F 27°C', 'low temp': '75°F 23°C', 'rain': '5 in 12 cm'}, 'Dec': {'high temp': '83°F 28°C', 'low temp': '74°F 23°C', 'rain': '11 in 28 cm'}, 'Sep': {'high temp': '81°F 27°C', 'low temp': '75°F 23°C', 'rain': '6 in 14 cm'}, 'Jan': {'high temp': '83°F 28°C', 'low temp': '74°F 23°C', 'rain': '15 in 37 cm'}, 'Aug': {'high temp': '81°F 27°C', 'low temp': '74°F 23°C', 'rain': '5 in 12 cm'}}","['Hi, I would like to visit Seychelles next year for your honeymoon, but I would like to know what is the best time to visit the islands. We would like to select the best month with no rains. ThanksMaria', 'Hi Maria,July and August are the driest months but they also have rough ocean. My favourite months are April and October because they have calm winds, perfect weather for snorkeling and not too much rain.Miki', ""Hi thanks for your reply. What's the weather like In September? It rains much?"", ""Rain in Seychelles is always present regardless of the month when you are here. Normally September has around 100-150 mm of rainfall placing this month among the best in terms of rainfall (top 4). The weather should be sunny most of the time but this can't be a general rule every year. June for example this year had a lot of rain even if statistics say that has one of the lowest rainfall levels throughout the year.Miki"", 'how about first week of May!!! ( i need help because am booking soooooooon ""???Edited: 14 April 2016, 00:37 ', 'Beginning of May is theoretically the starting of dry season. Normally you should have sunny weather with occasional rain but this is not 100% sure.I would give it a go.Miki', ""No one can say for sure what the weather will be like next week never mind next year.... It rains in the dry season and it's dry in the rainy season! My advise is the best time to come, when you can afford to be here for at least 2 weeks.... You will see some rain, but mostly sunshine..."", 'We went late April/early May last year and the weather was great with only a few short rain showers.']"
Mauritius,"Located in the southwest Indian Ocean, Mauritius enjoys a tropical climate that is greatly affected by south east trade winds. The warmest weather occurs during the month of February (average temperatures around 32Celsius) while the coolest temps tend to hit during July (average temperatures around23 degrees Celsius in some areas)In general, the western and northern regions are warmer and drier than those in the east and south. Summertime, which lasts from November through April, sees overall averages of30C along the coasts and is slightlyloweron the centralplateau. Wintertime, from May through October, sees overall averages of25/26C along the coastand loweron the centralplateau. The sea temperature ranges from about 70 to 80 degrees Fahrenheit, depending on the conditions and the season. Heavy rain is common from January through March, and tropical cyclones are a possibility from November through April although there have been a couple out of season with the latest out of season cyclone Abela occurring in July 2016(17th to 18th July) which is unusual in winter.A recommended time to visit Mauritius is during its winter months, the temperature is much cooler and on most days you willnot even have to use the Room Air Conditioning, also it rains less and even when it does rain it's mainly in the evening or just a passing shower during the day.You still have some strong sun during midday so atan can still be achieved. As a bonus this time of year also sees less tourisst so the hotel charges are less (Off-Peak Period) and you can haggle much more with taxi's or in shops as they will know there isnot as many tourist around so theywill be more flexible on their prices, Obviously the historic attractions will have fewer crowds so all in all you get a much more of a relaxing holiday. As a bonus you donot have to worry about cyclones.If you are visiting Mauritius in a particular month or time of the year and want to know what the weather might be like. Click on the following link:http://tiny.cc/j0ufkwIn 2011/12 Mauritius has had a more than usually hot summer with temps around 3 - 4degrees higher than normal. Also more than the usual number of tropical depressions and tropical storms with one named cyclone alert from November through to June. The last one affected Agalega to the north, and was out of season. Also a higher than average amount of rainfall in March. The 2012/13 summer season saw a cyclone form in October - Anais - an historical first as it was out of season. The first cyclone to affect Mauritius in2013 was Dumile on January 3rd - the centrepassed very close to the north west of the island and caused bad weather and some damage.2014/15 summer saw very high rainfall from mid Decemberto March with temperatures averaging 4C higher than normal.2015 winter has to date seen several anticyclones develop to the south with some cool spells and above average rain.Summer 2015/16was hot and humid with temps reaching 34C - 35C in the capital some days though cyclones have to date kept well away.For current weather information, click on the following:http://metservice.intnet.mu/","{'Nov': {'high temp': '79°F 26°C', 'low temp': '67°F 19°C', 'rain': '2 in 6 cm'}, 'Oct': {'high temp': '75°F 23°C', 'low temp': '65°F 18°C', 'rain': '2 in 5 cm'}, 'Dec': {'high temp': '81°F 27°C', 'low temp': '69°F 20°C', 'rain': '6 in 16 cm'}, 'Sep': {'high temp': '74°F 23°C', 'low temp': '64°F 17°C', 'rain': '3 in 7 cm'}, 'Jan': {'high temp': '83°F 28°C', 'low temp': '71°F 21°C', 'rain': '11 in 27 cm'}, 'Aug': {'high temp': '73°F 22°C', 'low temp': '64°F 17°C', 'rain': '3 in 7 cm'}}","['Which is the best time to visit Mauritius - when the beach activities are to the fullest too? Tnx', 'Mauritius tends to do well all year round. Peak travel season tends to be November-April which is during its summer months. However weather wise its also very hot and humid also containing some of its wettest months.May/June and Oct/Nov tends to be very good weather wise.', ""Preston is right - Mauritius is a year round destination. You'll be able to do beach activities like sailing, skiing, undersea walk etc throughout the year.I prefer April and May as it isn't as hot and humid as mid-summer so I have more energy!"", 'Depending on where you are maybe, the tide is higher certain times of a year & things like kite surfing and wind surfing is best around August - October.What activities did you want to do?', ""-:- Message from TripAdvisor staff -:-This topic has been closed to new posts due to inactivity. We hope you'll join the conversation by posting to an open topic or starting a new one.To review the TripAdvisor Forums Posting Guidelines, please follow this link: http://www.tripadvisor.com/pages/forums_posting_guidelines.htmlWe remove posts that do not follow our posting guidelines, and we reserve the right to remove any post for any reason.Removed on: 15 December 2013, 15:49""]"
